uid,evolvesToUid,evolveLvl,name
0001,0002,3,Bulbasaur
0002,0003,5,Ivysaur
0003,,0,Venusaur
0004,0005,3,Charmander
0005,0006,5,Charmeleon
0006,,0,Charizard
0007,0008,3,Squirtle
0008,0009,5,Wartortle
0009,,0,Blastoise
0010,0011,3,Caterpie
0011,0012,3,Metapod
0012,,0,Butterfree
0013,0014,3,Weedle
0014,0015,3,Kakuna
0015,,0,Beedrill
0016,0017,3,Pidgey
0017,0018,5,Pidgeotto
0018,,0,Pidgeot
0019a,0020a,4,Rattata
0020a,,0,Raticate
0021,0022,4,Spearow
0022,,0,Fearow
0023,0024,4,Ekans
0024,,0,Arbok
0025,0026a,4,Pikachu
0026a,,0,Raichu
0027a,0028a,4,Sandshrew
0028a,,0,Sandslash
0029,0030,3,Nidoran
0030,0031,4,Nidorina
0031,,0,Nidoqueen
0032,0033,3,Nidoran
0033,0034,4,Nidorino
0034,,0,Nidoking
0035,0036,3,Clefairy
0036,,0,Clefable
0037a,0038a,3,Vulpix
0038a,,0,Ninetales
0039,0040,3,Jigglypuff
0040,,0,Wigglytuff
0041,0042,4,Zubat
0042,,0,Golbat
0043,044,3,Oddish
0044,045,4,Gloom
0045,,0,Vileplume
0046,0047,3,Paras
0047,,0,Parasect
0048,0049,4,Venonat
0049,,0,Venomoth
0050a,0051a,4,Diglett
0051a,,0,Dugtrio
0052a,0053a,3,Meowth
0053a,,0,Persian
0054,0055,3,Psyduck
0055,,0,Golduck
0056,0057,3,Mankey
0057,,0,Primeape
0058a,0059a,4,Growlithe
0059a,,0,Arcanine
0060,0061,3,Poliwag
0061,0062,4,Poliwhirl
0062,,0,Poliwrath
0063,0064,3,Abra
0064,0065,5,Kadabra
0065,,0,Alakazam
0066,0067,3,Machop
0067,0068,4,Machoke
0068,,0,Machamp
0069,0070,3,Bellsprout
0070,0071,4,Weepinbell
0071,,0,Victreebel
0072,0073,3,Tentacool
0073,,0,Tentacruel
0074a,0075a,3,Geodude
0075a,0076a,4,Graveler
0076a,,0,Golem
0077a,0078a,4,Ponyta
0078a,,0,Rapidash
0079a,0080a,4,Slowpoke
0080a,,0,Slowbro
0081,0082,4,Magnemite
0082,,0,Magneton
0083a,,0,Farfetch'd
0084,0085,3,Doduo
0085,,0,Dodrio
0086,0087,3,Seel
0087,,0,Dewgong
0088a,0089a,3,Grimer
0089a,,0,Muk
0090,0091,3,Shellder
0091,,0,Cloyster
0092,0093,3,Gastly
0093,0094,5,Haunter
0094,,0,Gengar
0095,,0,Onix
0096,0097,3,Drowzee
0097,,0,Hypno
0098,0099,3,Krabby
0099,,0,Kingler
0100a,0101a,3,Voltorb
0101a,,0,Electrode
0102,0103a,3,Exeggcute
0103a,,0,Exeggutor
0104,0105a,3,Cubone
0105a,,0,Marowak
0106,,0,Hitmonlee
0107,,0,Hitmonchan
0108,,0,Lickitung
0109,0110a,3,Koffing
0110a,,0,Weezing
0111,0112,4,Rhyhorn
0112,,0,Rhydon
0113,,0,Chansey
0114,,0,Tangela
0115,,0,Kangaskhan
0116,0117,3,Horsea
0117,,0,Seadra
0118,0119,3,Goldeen
0119,,0,Seaking
0120,0121,3,Staryu
0121,,0,Starmie
0122a,,0,Mr. Mime
0123,,0,Scyther
0124,,0,Jynx
0125,,0,Electabuzz
0126,,0,Magmar
0127,,0,Pinsir
0128a,,0,Tauros
0129,0130,4,Magikarp
0130,,0,Gyarados
0131,,0,Lapras
0132,,0,Ditto
0133,0134;0135;0136,3,Eevee
0134,,0,Vaporeon
0135,,0,Jolteon
0136,,0,Flareon
0137,,0,Porygon
0138,0139,4,Omanyte
0139,,0,Omastar
0140,0141,4,Kabuto
0141,,0,Kabutops
0142,,0,Aerodactyl
0143,,0,Snorlax
0144a,,0,Articuno
0145a,,0,Zapdos
0146a,,0,Moltres
0147,0148,3,Dratini
0148,0149,5,Dragonair
0149,,0,Dragonite
0150,,0,Mewtwo
0151,,0,Mew
